 2SET 7,(HL) CBFE@2
 2SET 0,^(IX+ DDCB#1C6@4
 2SET 0,^(IY+ FDCB#1C6@4
 2SET 1,^(IX+ DDCB#1CE@4
 2SET 1,^(IY+ FDCB#1CE@4
 2SET 2,^(IX+ DDCB#1D6@4
 2SET 2,^(IY+ FDCB#1D6@4
 2SET 3,^(IX+ DDCB#1DE@4
 2SET 3,^(IY+ FDCB#1DE@4
 2SET 4,^(IX+ DDCB#1E6@4
 2SET 4,^(IY+ FDCB#1E6@4
 2SET 5,^(IX+ DDCB#1EE@4
 2SET 5,^(IY+ FDCB#1EE@4
 2SET 6,^(IX+ DDCB#1F6@4
 2SET 6,^(IY+ FDCB#1F6@4
 2SET 7,^(IX+ DDCB#1FE@4
 2SET 7,^(IY+ FDCB#1FE@4
 Z
 1SLA A CB27@2
 1SLA B CB20@2
 1SLA C CB21@2
 1SLA D CB22@2
 1SLA E CB23@2
 1SLA H CB24@2
 1SLA L CB25@2
 1SLA (HL) CB26@2
 1SLA ^(IX+ DDCB#126@4
 1SLA ^(IY+ FDCB#126@4
 Z
 1SRA A CB2F@2
 1SRA B CB28@2
 1SRA C CB29@2
 1SRA D CB2A@2
 1SRA E CB2B@2
 1SRA H CB2C@2
 1SRA L CB2D@2
 1SRA (HL) CB2E@2
 1SRA ^(IX+ DDCB#12E@4
 1SRA ^(IY+ FDCB#12E@4
 Z
 1SRL A CB3F@2
 1SRL B CB38@2
 1SRL C CB39@2
 1SRL D CB3A@2
 1SRL E CB3B@2
 1SRL H CB3C@2
 1SRL L CB3D@2
 1SRL (HL) CB3E@2
 1SRL ^(IX+ DDCB#13E@4
 1SRL ^(IY+ FDCB#13E@4
 Z
 1SUB A 97@1
 1SUB B 90@1
 1SUB C 91@1
 1SUB D 92@1
 1SUB E 93@1
 1SUB H 94@1
 1SUB L 95@1
 1SUB (HL) 96@1
 1SUB 1 D6#1@2
 1SUB 2(IX+ DD96#1@3
 1SUB 2(IY+ FD96#1@3
 Z
 1XOR A AF@1
 1XOR B A8@1
 1XOR C A9@1
 1XOR D AA@1
 1XOR E AB@1
 1XOR H AC@1
 1XOR L AD@1
 1XOR (HL) AE@1
 1XOR 1 EE#1@2
 1XOR 2(IX+ DDAE#1@3
 1XOR 2(IY+ FDAE#1@3
 Z
